Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Panama,,-0.038561594,0.091073237,0.068079896,0.022574635,-0.000571453,0.016050767,0.005216825,0.025256436,0.008149669,-0.001248605,-0.096953698,-0.164080471
Paraguay,,0.080249682,0.145930335,0.070256419,0.044004593,0.091050856,0.205120459,0.214730084,0.056353856,0.009019198,0.003019272,-0.06036834,
Peru,,-0.082976907,-0.08948978,-0.079131119,-0.090867996,-0.072250187,-0.135093689,-0.091062851,-0.077736996,-0.147824064,-0.10156054,-0.145887688,-0.166747421
Philippines,,0.05909567,-0.026273055,0.078044087,-0.000804941,0.027964491,0.06742245,0.047324717,0.015255213,-0.021333195,-0.05721477,-0.077418268,-0.147851661
Poland,,,-0.057126235,0.0029,0.062975906,-0.008813069,-0.077642843,-0.037411589,-0.148124471,-0.07535246,-0.10438063,-0.102382511,-0.133134007
Portugal,,-0.185987949,-0.2055,-0.224927396,-0.1693,-0.113575339,-0.1804488,-0.104271121,-0.125444293,-0.133559808,-0.170418113,-0.23237966,-0.182598397
Qatar,,,,,0.191972777,0.060169544,-0.032009643,0.11814566,,,,,
Romania,,,-0.194076225,-0.1975,-0.201015234,-0.09175127,-0.146256357,-0.117041543,-0.134979978,-0.106183335,-0.147334963,-0.121515714,-0.164420739
Russia,,-0.320842147,-0.29855448,-0.320171237,-0.298028439,-0.311279774,-0.293969005,-0.307606727,-0.304050118,-0.279212117,-0.184899792,-0.194762796,-0.158567786
Rwanda,,,,0.024977062,0.006678591,-0.0124,-0.031564023,-0.005128154,-0.02107743,-0.017352309,0.029976273,0.029825214,
"Saudi Arabia",,,-0.019219263,-0.046069123,-0.133721456,-0.056675706,-0.166417196,-0.144272059,-0.105922118,-0.09751229,-0.069890961,-0.157428324,-0.156905413
Senegal,,-0.037352014,0.01107379,-0.016854342,-0.022944707,-0.064366736,-0.147572905,-0.022164073,-0.038765803,-0.030413957,-0.09641131,-0.071341716,-0.029066099
Serbia,,,-0.170420438,-0.1764,-0.182431325,-0.174968317,-0.189296648,-0.134579897,-0.10401623,0.068064809,-0.065328665,-0.070948005,-0.081415586
"Sierra Leone",,0.113010384,0.259906858,0.160101399,0.0915,0.022827111,0.016312871,-0.0225,-0.061319377,0.04355019,0.061933748,0.117161058,0.08922568
Singapore,,0.119886138,0.274598211,0.027291948,-0.092618592,-0.036895577,-0.167730153,-0.0359,0.095904887,0.135153309,0.131434411,0.125497803,0.120411552
Slovakia,,-0.064926222,-0.0779,-0.0909,-0.1039,-0.116859503,-0.005755996,-0.043799434,-0.067319475,-0.142205775,-0.143978938,-0.077814296,-0.072076842
Slovenia,,0.034329139,0.0139,-0.0065,-0.026906369,0.021303374,-0.032927569,-0.027284415,0.028237589,0.044557199,-0.0001313,-0.062880538,-0.033475116
"South Africa",,-0.094853051,-0.169056356,-0.10683085,-0.165026173,-0.213509202,-0.165678427,-0.174449459,-0.088512197,-0.128491253,-0.138649702,-0.081525691,-0.139256224
"South Korea",,-0.062243648,-0.069573991,-0.112496719,-0.106175631,-0.0436147,-0.059041344,-0.0597,-0.060346231,-0.053714354,-0.04649435,0.015434954,0.003354594
"South Sudan",,,,,,,,,,0.02525798,0.119170479,0.01706657,
Spain,,,-0.103361994,-0.159639508,-0.137275264,-0.147801533,-0.131341591,-0.068857409,-0.110599332,-0.037409976,-0.081511393,-0.057693832,-0.042156253
"Sri Lanka",,0.056387205,0.103494719,0.155954778,0.299293995,0.251408398,0.137338072,0.153034613,0.260506958,0.291067839,0.31106618,0.1978,0.084577233
Sudan,,,,,0.070324376,-0.049266271,-0.030171286,-0.064391643,-0.0684,-0.07236103,,,
Suriname,,,,,,,,-0.080004871,,,,,
Swaziland,,,,,,,-0.074519485,,,,,,
Sweden,,,0.13274014,0.111786045,0.208076924,0.128606394,0.148936257,0.119244285,0.146141112,0.188916102,0.198151082,0.131626412,0.155486837
Switzerland,,0.277742356,0.2226,0.1674,0.112297744,0.1168,0.1213,0.12572737,0.0864,0.047115862,0.095988229,0.075722456,0.167874664
Syria,,,,0.121354982,0.079589665,0.010572175,0.13165924,0.30370754,,,,,
Taiwan,,-0.034321934,-0.0302,-0.026017087,-0.0154,-0.004724982,,,,,,,
Tajikistan,,-0.08593405,0.002714338,0.019663,0.002757271,0.063700311,-0.117279142,-0.071462199,0.064330526,0.002124814,0.022273354,0.00938015,0.124936186
Tanzania,,-0.03217914,-0.019021749,0.249818623,0.302362651,0.132945448,-0.052450906,0.20654723,0.047228873,0.10295748,0.140499935,0.170367196,0.106598906
Thailand,,0.322456777,0.381656557,0.416122079,0.515620887,0.526286066,0.390435398,0.369734466,0.445923597,0.54221499,0.305584073,0.345258892,0.202452391
Togo,,-0.006863445,-0.0315,-0.056087237,-0.06,-0.0638,-0.067708574,-0.0719,-0.0761,-0.080323517,-0.064116418,-0.002163592,-0.037704486
"Trinidad and Tobago",,0.116622351,0.089,0.061395265,0.0584,0.0554,0.052378628,0.0771,0.101881623,0.0728,0.0436,0.0145,-0.014604381
Tunisia,,,,,-0.133611873,-0.150295362,-0.213565603,-0.191103399,-0.221751094,-0.246644452,-0.240638509,-0.179536998,-0.233531162
Turkey,,,-0.186565697,-0.197107226,-0.235044003,-0.19555001,-0.250811964,-0.224778861,-0.238963515,-0.033587892,-0.026482064,-0.075362623,-0.246927157
Turkmenistan,,,,,-0.124044321,-0.0646,-0.005134969,-0.146875903,-0.095991082,0.006943855,0.067475304,-0.020934045,0.04033754
Uganda,,-0.027491333,0.01265553,-0.041435409,-0.024005855,-0.001227713,0.044783331,0.094537929,0.066223241,0.022678981,0.148229748,0.144682214,0.071719982
Ukraine,,-0.238632381,-0.22290118,-0.247107163,-0.222812951,-0.170597658,-0.209895223,-0.205425665,-0.198611125,0.101574235,-0.015052794,0.028647501,0.016125007
"United Arab Emirates",,-0.060171559,-0.0427,-0.0253,-0.007879446,0.030095892,0.045082495,0.0779,0.1106,0.1434,0.176181525,0.106182665,0.191113129
"United Kingdom",,,0.325710297,0.320796579,0.331391543,0.393231273,0.326122075,0.361319065,0.336297154,0.344311208,0.289594233,0.239836901,0.281046003
"United States",,,0.181199402,0.238993734,0.185343683,0.228549257,0.145243585,0.199201018,0.258483708,0.205879509,0.203884602,0.12846604,0.181657359
Uruguay,,-0.12459971,-0.177377388,-0.155601844,-0.131189704,-0.17134437,-0.093564279,0.053386752,-0.05708592,-0.086900182,-0.046382796,-0.085954465,-0.104762152
Uzbekistan,,-0.113762066,-0.0682,-0.022555074,0.013268734,-0.03087309,0.040637165,-0.039761808,-0.037076458,0.057538215,0.370148867,0.202184632,0.11402946
Venezuela,,-0.063021481,-0.1554,-0.247713178,-0.146639004,-0.170376584,-0.236342326,-0.205540046,-0.238719583,-0.226648971,-0.178957507,-0.20690684,
Vietnam,,0.016762661,0.091139518,0.202312633,-0.06033092,-0.004509777,0.105976403,-0.10952954,-0.02653946,0.000278395,0.08544226,-0.090151913,
Yemen,,,-0.0053808,-0.0355,-0.065568224,-0.108765841,-0.17364803,-0.177809879,-0.187269315,-0.172365546,-0.145430744,-0.157162398,
Zambia,,-0.013914998,-0.075171672,0.047244616,-0.104798816,-0.0557,-0.006661959,-0.002135111,-0.114405595,-0.020870663,-0.048977159,0.112272955,0.129821524
Zimbabwe,,-0.053216368,-0.058067586,-0.063873053,-0.051991668,-0.062908411,-0.059086103,-0.072877467,-0.07671573,-0.045884714,-0.094584644,-0.065283127,-0.066004686
