Macau,26430,27560,31220,32650,33950,34660,33810,33520,31450,29900,30870,34410,37090,40560,49750,53620,58810,74950,69530,70380,85790,100890,107980,117980,118020,98450,
"Macedonia (F.Y.R.O.M.)",5190,5070,4740,4540,4600,4660,4770,4890,5090,5320,6010,6000,6230,6420,7040,7620,8560,8810,10290,10850,11140,11400,11580,12370,13260,13580,14480
Madagascar,1030,940,960,980,960,970,990,1020,1050,1090,1120,1190,1020,1110,1160,1220,1280,1370,1460,1360,1340,1350,1350,1370,1400,1410,1440
Malawi,470,520,490,550,490,580,630,650,660,660,670,640,640,680,710,740,780,850,910,960,1000,1040,1040,1070,1120,1130,1140
Malaysia,6530,7140,7720,8520,9270,10150,11080,11710,10690,11060,11880,12060,12740,13640,14710,15810,17160,19080,19560,19060,20020,21300,22160,23240,24630,25860,26900
Maldives,,,,,,,,,,,,5490,5800,6560,7470,6890,8210,7650,8740,8530,8920,9790,10150,10310,11100,11560,11970
Mali,820,930,890,920,940,940,1000,1030,1100,1150,1150,1270,1270,1410,1420,1520,1580,1640,1700,1730,1760,1810,1760,1790,1910,1980,2040
Malta,10040,10600,11080,11630,12200,13050,13710,15160,15580,17130,19000,19840,20670,20820,21370,21520,22400,24100,25530,24380,26400,27650,28210,29720,32300,34420,35720
"Marshall Islands",,,,,,3230,2810,2710,2740,2790,3020,3250,3310,3350,3440,3700,3840,4070,4040,3970,4090,4270,4280,4550,4780,5190,5280
Mauritania,1710,1780,1800,1880,1810,1980,2220,2090,2120,2250,2200,2150,2290,2390,2520,2740,3090,3190,3240,3200,3200,3270,3400,3580,3750,3690,3760
Mauritius,4730,5110,5500,5830,6070,6420,6790,7260,7680,7910,8720,9170,9440,9820,10640,11060,12390,13650,14470,14750,15800,16610,17470,18280,18740,19940,20980
Mexico,5840,6200,6450,8280,8660,7700,8100,8750,9090,9590,10200,10220,10290,10530,11180,11990,13010,13920,14520,14210,14910,15960,16420,16440,17230,17120,17740
Micronesia,,,,2380,2380,2440,2380,2400,2340,2400,2580,2680,2730,2840,2860,3040,3140,3200,3160,3330,3390,3540,3670,3700,3610,4120,4330
Moldova,,,,,,1870,1880,1940,1830,1790,1870,2130,2340,2680,2990,3300,3570,3700,4090,3730,4150,4520,4700,5210,5540,5410,5670
Mongolia,3250,3070,2760,2680,2810,3040,3160,3310,3470,3600,3670,3840,4040,4350,4890,5270,5880,6490,7050,6830,6920,8160,9200,10470,10980,11150,11290
Montenegro,,,,,,,,,,,6300,7130,7500,7760,8250,8410,10530,12550,13940,13010,13570,14590,14100,15170,15610,16600,17090
Morocco,2460,2670,2630,2610,2920,2760,3140,3100,3340,3390,3480,3780,3930,4200,4490,4750,5200,5480,5850,6000,6230,6580,6780,7140,7270,7610,7700
Mozambique,240,250,230,240,260,260,330,370,400,430,430,480,470,550,580,630,670,730,780,840,870,940,1010,1070,1120,1170,1190
"Burma (Myanmar)",480,490,540,580,630,680,720,770,810,900,1040,1160,1310,1510,1740,2020,2340,2680,2990,3310,3650,3900,4100,4470,4820,5070,
Namibia,3750,4120,4250,4210,4230,4470,4460,4580,4670,4650,4880,4920,5210,5670,6260,6360,7010,7490,7760,7710,7970,8490,8770,9520,10120,10520,10550
Nauru,,,,,,,,,,,,,,,,,,5190,5510,6620,7520,8160,9650,12750,15790,16190,17520
Nepal,780,830,860,890,960,990,1030,1080,1100,1150,1220,1290,1280,1340,1420,1500,1590,1680,1790,1880,1960,2040,2160,2260,2430,2490,2520
Netherlands,18770,19800,20360,21110,22210,23450,24630,25990,27280,29390,32190,32880,34050,34180,36070,37410,41460,44120,44990,44130,44950,46910,47670,49350,48880,49370,50320
"New Zealand",14250,13590,13950,14810,15940,16780,17090,17990,18440,19350,20290,21370,22130,22820,23670,24020,25900,27290,27700,29440,29710,31250,31610,34740,35680,36600,37860
Nicaragua,1900,1520,1420,1480,1780,1960,2110,2230,2350,2510,2630,2710,2760,2850,3060,3280,3430,3680,3830,3670,3830,4110,4400,4640,4910,5140,5390
Niger,560,580,540,540,550,560,570,580,620,610,590,630,630,650,650,680,710,730,780,750,790,800,860,880,930,950,970
Nigeria,1780,1790,1770,1710,1760,1850,1960,2000,1970,2060,1960,2130,2170,2350,3150,3250,3890,3980,4200,4340,4780,4970,5180,5390,5770,5900,5740
Norway,17920,18920,20150,21060,22600,24020,26490,28290,27850,30300,36440,37910,38070,38770,42600,48300,54150,55670,61400,55770,58620,62640,65920,67670,68070,65180,62510
Oman,22060,23370,24350,25330,25870,27130,27970,29920,30700,31110,33500,35470,34420,34270,35150,35490,34800,39590,41210,41510,41710,39560,41270,41610,40160,41320,
Pakistan,2060,2130,2260,2290,2350,2470,2540,2530,2560,2630,2740,2790,2920,3130,3350,3650,3900,4110,4190,4280,4360,4500,4680,4860,5090,5300,5580
Palau,,10780,10030,9110,9290,10570,11650,11830,11560,11330,10100,10670,11350,10940,12110,12550,12500,12700,12100,11230,11690,12360,12970,12630,13340,14730,14740
Panama,4880,5250,5770,6240,6500,6490,6770,7110,7540,7700,8050,8080,8500,8600,9180,9930,10940,12400,13710,13650,13970,16080,17510,18560,19860,20210,20990
"Papua New Guinea",960,1070,1140,1350,1450,1420,1460,1430,1350,1340,1330,1300,1290,1260,1330,1460,1440,1710,1820,1860,1920,2160,2320,2450,2700,,
Paraguay,,,,,,4360,4650,4660,4610,4490,4170,4220,4330,4130,4410,4590,5080,5740,6220,5850,6640,7120,6940,8020,8510,8690,9060
Peru,3210,3410,3400,3560,4030,4330,4510,4830,4840,4910,5060,5170,5440,5650,5900,6310,6770,7480,8300,8390,9010,9640,10430,11200,11600,12020,12480
Philippines,2550,2590,2630,2700,2840,2980,3160,3360,3580,3650,3920,4080,4220,4570,4940,5360,5700,6110,6460,6790,7310,6840,7350,7930,8410,8850,9400
Poland,,5590,5780,6170,6830,7410,8060,8770,9340,9880,10600,11090,11740,12140,12930,13650,14830,16220,17990,18690,20330,22020,22940,23890,24760,25850,26770
Portugal,11760,12740,13240,13270,13590,14490,14960,15720,16590,17630,18510,19190,20010,20580,21170,22390,23890,24880,25590,25530,26440,26260,25810,27520,28310,28840,29990
"Puerto Rico",11540,11940,12230,12830,13310,13930,14480,15090,15660,16460,17280,18690,18890,19650,20730,21830,22710,23170,23060,22490,22060,22390,23290,24020,,,
Qatar,,,,,,,,,,,,,,,93330,85220,102970,106010,108270,102410,109930,119120,119330,120290,121570,124740,
Romania,5240,4780,4480,4650,4950,5420,5730,5550,5510,5560,5830,6550,7110,7640,8760,9440,11310,13000,15880,15760,16920,17800,18660,19450,20530,21550,22950
Russia,8000,7820,6790,6350,5710,5560,5440,5580,5220,5680,6650,7270,7880,8970,10010,11540,14480,16280,19600,18760,19860,23360,24520,24570,24650,23060,22540
