Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mauritius,,,,,28.00,37.00,62.00,55.00,44.00,73.00,62.00,66.00,67.00,68.00,69.00,69.00,44.00,51.00,78.00,150.00,279.00,330.00,345.00,348.00,319.00,401.00,535.00,632.00,719.00,657.00,736.00,707.00,744.00,784.00,851.00
Mexico,4381.68,3890.00,4688.00,5486.00,5423.00,5816.00,6540.00,6377.00,6000.00,6488.00,7562.00,7486.00,7500.00,8633.00,10129.00,11293.00,12937.00,12717.00,13265.00,13436.00,13552.00,15455.00,16313.00,18321.00,15528.00,19355.00,19249.00,19279.00,15432.00,18042.00,19502.00,20658.00,19547.00,19700.00,19490.00
Moldova,--,--,--,--,--,--,--,--,--,--,--,--,2655.00,2450.00,2384.00,1448.00,1238.00,665.00,602.00,328.00,267.00,211.00,265.00,385.00,205.00,198.00,208.00,142.00,218.00,195.00,205.00,218.00,211.00,274.00,173.00
Mongolia,5513.44,4462.00,5627.00,5753.00,5619.00,6798.00,7514.00,7938.00,8384.00,7988.00,7329.00,7707.00,6855.00,6243.00,5696.00,5736.00,5665.00,5550.00,5496.00,5530.00,5745.00,5720.00,6100.00,5776.00,5825.00,6025.00,6538.00,6702.00,6631.00,7051.00,7535.00,7615.00,8374.00,9289.00,10641.00
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1585.00,1283.00,1904.00,1033.00,2060.00,2126.00,1909.00,1843.00,1797.00
Morocco,699.97,830.00,802.00,1064.00,1057.00,1224.00,1613.00,1876.00,1823.00,1962.00,1955.00,2152.00,1835.00,1898.00,2072.00,2938.00,3452.00,3434.00,3792.00,3670.00,4429.00,5623.00,5763.00,5390.00,5132.00,5443.00,5430.00,5532.00,4919.00,4518.00,4662.00,4973.00,5051.00,4975.00,7227.00
Namibia,--,--,--,--,--,--,--,--,--,--,,17.00,13.00,99.00,110.00,18.00,15.00,12.00,19.00,6.60,3.30,4.40,6.6,8.80,1.10,22.00,71.00,85.00,117.00,54.00,39.00,14.00,11.00,33.00,33.00
Nepal,90.39,68.00,77.00,157.00,160.00,125.00,89.00,106.00,80.00,13.00,77.00,108.00,47.00,60.00,126.00,136.00,111.00,112.00,109.00,440.00,474.00,542.00,251.00,321.00,283.00,452.00,270.00,362.00,340.00,355.00,557.00,539.00,403.00,504.00,604.00
Netherlands,7057.00,7635.00,8955.00,8701.00,10724.00,10924.00,11352.00,12157.00,14470.00,14751.00,15286.00,14415.00,14476.00,14329.00,15442.00,15778.00,15608.00,15645.00,16034.00,13356.00,14094.00,15005.00,14845.00,15107.00,14988.00,14395.00,13981.00,14884.00,14010.00,13116.00,13121.00,12910.00,14143.00,14325.00,16140.00
"New Caledonia",132.28,90.00,72.00,107.00,114.00,195.00,193.00,171.00,187.00,228.00,181.00,194.00,187.00,187.00,182.00,182.00,185.00,125.00,132.00,122.00,280.00,286.00,304.00,318.00,309.00,287.00,312.00,269.00,405.00,279.00,662.00,624.00,496.00,628.00,673.00
"New Zealand",2161.63,2167.00,2189.00,2387.00,2339.00,2269.00,1968.00,2183.00,2525.00,2200.00,2407.00,2365.00,2629.00,2547.00,2401.00,2431.00,2372.00,2537.00,2322.00,2406.00,2287.00,2795.00,2814.00,4045.00,4235.00,4701.00,4624.00,3523.00,4440.00,3425.00,2937.00,3075.00,3757.00,3272.00,3161.00
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
