Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ghana,61.16576,57.1282,53.0907,49.0532,45.0157,40.9781,36.9406,32.9031,28.8656,24.828,20.7905,16.75298,20.30414,20.59067,19.49301,21.34411,22.037,22.73,23.4229,24.1158,24.8087,25.5016,26.1946,26.8875,27.5804,25.26633,24.38278,25.5028,26.6228,27.74287,32.69687,32.52846,32.36025,35.21611,35.41914,35.6858,35.95242,36.38433,35.47984,32.53683,33.97072
Gibraltar,14,13,17,17,22,18,14,14.4,15,15,30,29.4118,28.8235,28.2353,27.6471,27.0588,26.4706,25.8824,25.2941,24.7059,24.1177,23.5294,22.9412,22.3529,21.76471,22.76471,22.42857,,,,,,,,,,,,,,
Greece,27.2405,26.19217,26.22558,24.09281,23.56056,22.87474,22.4016,21.97739,22.21713,22.26809,21.70169,21.01602,20.00605,19.54747,18.15843,17.06464,16.25429,16.11723,16.50458,15.81167,15.5598,14.92441,15.10365,15.85298,15.90173,15.81784,14.50301,13.94541,13.21774,12.74668,12.48933,12.35586,11.92062,,,,,,,,
Grenada,,,26.45745,28.67,26.81308,24.2761,21.73913,22.35897,21.54962,18.6,19.8954,21.1909,22.4863,23.89333,23.108,22.3227,21.5374,20.7521,19.9667,19.1814,18.3961,17.6108,16.8255,16.0401,15.25481,15.1651,15.0754,14.98565,14.79386,14.80702,10.30303,12.1332,13.96341,14.93333,10.5389,14.47967,14.1556,13.8315,13.50741,12.13043,
Guatemala,,,,,,,,,34.71841,31.82702,30.344,28.49792,28.69596,28.7875,28.879,28.9705,29.062,29.15348,25.04683,23.15755,31.80783,30.99616,30.07874,26.85797,26.09329,22.76595,22.95848,23.15366,24.32,25.48629,25.10817,24.91754,24.20812,23.2689,23.97446,21.48757,20.56438,19.20583,,,
Guinea,,,,,,,,,,,,,,,,,,,,33.97351,43.3756,52.77778,42.08511,41.1903,40.2954,39.4005,38.5057,37.6108,36.716,35.82111,31.15025,28.93449,33.32376,34.04138,33.7913,33.54126,,,,,
"Guinea Bissau",,,,,,11.29412,9.97826,10.41304,23.5,22.7316,21.9631,21.1947,20.42623,20.5041,20.5819,20.6597,20.7376,20.8154,20.8933,20.9711,21.0489,21.1268,21.2046,21.2825,21.3603,21.43814,22.1908,22.9434,23.696,24.4486,25.2013,25.9539,26.7065,27.4591,28.2118,28.9644,,,,,
Guyana,,,15.51384,13.70835,14.5986,13.89824,13.85282,16.80202,18.3163,18.8716,19.42692,18.35954,18.2941,18.22857,19.9812,21.7339,23.48651,18.81293,19.55722,19.75858,19.42006,16.32646,16.78646,17.2617,17.73697,16.65302,16.06505,15.5102,14.9553,15.5448,16.13435,15.4264,14.71843,14.87836,14.75,14.06405,15.47516,15.63208,,,
Haiti,,,,,,,,,,,21.96653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,39.74384,40.65392,40.81414,44.19602,41.96769,39.65666,40.74208,46.28902,37.76797,35.35359,35.9448,36.53596,35.6605,34.7851,33.9097,33.0342,32.15882,30.6911,29.22342,27.8317,26.4399,25.0482,23.6565,22.2647,20.873,19.48127,19.5101,19.539,19.5678,19.59665,21.26765,25.74737,26.89421,29.38287,26.5804,23.5208,20.4611,17.4015,14.34182,23.65257,
