Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Senegal,,,,,,,,,,,,,68.4,64.7667,61.1333,57.5,56.3286,55.1571,53.9857,52.8143,51.6429,50.4714,49.3,46.575,43.85,41.125,38.4,38.3333,38.2667,38.2,38.1333,38.0667,38,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.5,0.9,1.1,0.5,0.3,0.1,0.1,0.1,0.1333,0.1667,0.2,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,
"Sierra Leone",,,,,,,,,,,65.5,65,64.5,64,63.5,63,62.5,62,61.5,61,60.5,60,59.5,59,58.5,57.725,56.95,56.175,55.4,54.625,53.85,53.075,52.3,,,,,
Slovakia,,,,,,,,,,,,,,,,,,0.5,0.45,0.4,0.35,0.3,0.25,0.2,0.15,0.1,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.2,0.8,,
Slovenia,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,45.6,43.0375,40.475,37.9125,35.35,32.7875,30.225,27.6625,25.1,,,
"South Africa",,,,,,,,,,,,,,,29.3,30.8,32.3,33.8,33.5,33.2,32.9,32.6,31.4,30.2,29,27.8,26.6,25.4,21.15,16.9,16.8,16.7,16.6,,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.6,0.7,0.5,0.8,0.7,1.1,0.9,1.2,0.8,,
"Sri Lanka",,,,,,,13.3,12.38,11.46,10.54,9.62,8.7,8.72,8.74,8.76,8.78,8.8,8.7286,8.6571,8.5857,8.5143,8.4429,8.3714,8.3,7.175,6.05,4.925,3.8,3.3333,2.8667,2.4,2.2333,2.0667,1.9,,,,
"Saint Lucia",,,,,,,,,,,,,,,,,35.8,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,81.7,76.15,70.6,65.05,59.5,53.95,48.4,47.6889,46.9778,46.2667,45.5556,44.8444,44.1333,43.4222,42.7111,42,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.3,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,54.4,48.5,42.6,36.7,30.8,15.4,13.7,12,10.3,7.5,4.7,11.3,17.9,24.5,22.6,19.5,4.7,
Tanzania,,,,,,,,,,,,,72.1,73.6444,75.1889,76.7333,78.2778,79.8222,81.3667,82.9111,84.4556,86,81.5857,77.1714,72.7571,68.3429,63.9286,59.5143,55.1,53.6,52.1,50.6,49.1,,,,,
