Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nigeria,,,,,,,,20,3,8,22,16,18,14,12,10,4,3,2,10,10,66,56,793,550,804,947,1920,1570,1300,1390,1170,1210,1060,2270,14640,16932,18011,19206,18368,19745,20617,20543,20797,20829,21060,18956
Norway,,,,,,8,9,66,68,73,102,125,107,101,101,105,111,135,138,141,158,174,190,166,170,239,309,289,301,288,270,279,333,392,465,505,529,617,685,631,680,765,767,791,760,609,624
Oman,,,,,,,,,29,33,35,41,43,43,43,43,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Pakistan,,,,,,,412,872,1310,1500,2050,2070,2590,2940,2580,2540,2450,2180,1870,2020,2010,1550,1570,1450,1750,1710,1280,1710,1170,996,1080,1460,3550,3961,3942,4280,5121,5998,7039,8717,9690,12263,14007,14629,17244,19306,19847
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2
Panama,,,,,,,,104,121,136,65,62,76,78,74,99,100,104,102,102,110,108,102,109,112,112,86,64,58,48,16,73,85,107,109,130,301,355,378,337,410,368,411,452,760,560,519
"Papua New Guinea",,,,,,,14,9,9,9,5,5,6,4,5,6,7,13,10,7,5,21,21,20,20,16,15,14,10,8,7,6,6,7,10,7,4,8,7,5,3,17,14,14,10,10,11
Paraguay,,,,,,6,7,18,38,36,52,63,41,33,24,10,14,23,24,40,34,42,64,95,148,287,297,298,286,268,278,264,202,223,238,161,336,341,363,377,410,541,634,623,507,554,576
Peru,,,,,,,,,,,,,,,,,,,,,87,148,240,289,473,599,597,636,647,670,718,753,705,869,1130,1440,1837,2131,2444,2409,2534,2697,2788,2707,2639,2725,2889
Philippines,,,,,,,,339,446,556,626,800,1049,1124,718,806,861,1020,1262,1360,1462,1849,2536,2591,3453,5362,4879,6800,5134,6714,6957,8769,9740,10244,11473,13733,14988,15853,18064,19078,20563,21922,23352,25369,27273,28483,29878
Poland,,,,,,,,,,,,,,,,,,,,,,,,,581,724,774,848,1070,825,1496,1563,1683,2281,4724,6471,8486,10468,10475,8174,7659,7712,6989,7400,7409,6783,6820
Portugal,,,,,,1124,924,1194,1694,2482,2971,2875,2634,2187,2198,2163,2654,3368,3527,3704,4476,4720,4762,4316,3807,3950,3790,3583,3628,3644,3496,3647,2927,3040,3303,3061,3485,4162,4288,3788,3726,3922,3991,4455,4446,4367,4582
