Country,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Malta,0.31,0.322,0.334,0.346,0.358,0.37,0.384,0.398,0.412,0.426,0.44,0.456,0.472,0.488,0.504,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.764,0.808,0.852,0.896,0.94,0.974,1.008,1.042,1.076,1.11,1.092,1.074,1.056,1.038,1.02,1.058,1.096,1.134,1.172,1.21,1.24,1.27,1.3,1.33,1.36,1.384,1.408,1.432,1.456,1.48,1.488,1.496,1.504,1.512,1.52,1.556,1.592,1.628,1.664,1.7,1.738,1.776,1.814,1.852,1.89,1.93,1.97,2.01,2.05,2.09,2.122,2.154,2.186,2.218,2.25,2.334,2.418,2.502,2.586,2.67,2.756,2.842,2.928,3.014,3.1,3.168,3.236,3.304,3.372,3.44,3.55,3.66,3.77,3.88,3.99,4.046,4.102,4.158,4.214,4.27,4.3,4.33,4.36,4.39,4.42,4.49,4.56,4.63,4.7,4.77,4.82,4.87,4.92,4.97,5.02,5.072,5.124,5.176,5.228,5.28,5.342,5.404,5.466,5.528,5.59,5.636,5.682,5.728,5.774,5.82,5.82,5.82,5.82,5.82,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,0.18,0.19,0.2,0.21,0.22,0.23,0.242,0.254,0.266,0.278,0.29,0.306,0.322,0.338,0.354,0.37,0.39,0.41,0.43,0.45,0.47,0.494,0.518,0.542,0.566,0.59,0.662,0.734,0.806,0.878,0.95,0.984,1.018,1.052,1.086,1.12,1.142,1.164,1.186,1.208,1.23,1.256,1.282,1.308,1.334,1.36,1.384,1.408,1.432,1.456,1.48,1.508,1.536,1.564,1.592,1.62,1.648,1.676,1.704,1.732,1.76,1.792,1.824,1.856,1.888,1.92,1.932,1.944,1.956,1.968,1.98,1.988,1.996,2.004,2.012,2.02,2.026,2.032,2.038,2.044,2.05,2.096,2.142,2.188,2.234,2.28,2.356,2.432,2.508,2.584,2.66,2.752,2.844,2.936,3.028,3.12,3.208,3.296,3.384,3.472,3.56,3.556,3.552,3.548,3.544,3.54,3.552,3.564,3.576,3.588,3.6,3.648,3.696,3.744,3.792,3.84,3.902,3.964,4.026,4.088,4.15,4.2,4.25,4.3,4.35,4.4,4.434,4.468,4.502,4.536,4.57,4.628,4.686,4.744,4.802,4.86,4.918,4.976,5.034,5.092,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0.36,0.376,0.392,0.408,0.424,0.44,0.458,0.476,0.494,0.512,0.53,0.546,0.562,0.578,0.594,0.61,0.624,0.638,0.652,0.666,0.68,0.694,0.708,0.722,0.736,0.75,0.762,0.774,0.786,0.798,0.81,0.848,0.886,0.924,0.962,1,1.036,1.072,1.108,1.144,1.18,1.2,1.22,1.24,1.26,1.28,1.262,1.244,1.226,1.208,1.19,1.206,1.222,1.238,1.254,1.27,1.284,1.298,1.312,1.326,1.34,1.392,1.444,1.496,1.548,1.6,1.65,1.7,1.75,1.8,1.85,1.846,1.842,1.838,1.834,1.83,1.82,1.81,1.8,1.79,1.78,1.802,1.824,1.846,1.868,1.89,1.914,1.938,1.962,1.986,2.01,2.056,2.102,2.148,2.194,2.24,2.316,2.392,2.468,2.544,2.62,2.688,2.756,2.824,2.892,2.96,3.046,3.132,3.218,3.304,3.39,3.49,3.59,3.69,3.79,3.89,3.98,4.07,4.16,4.25,4.34,4.404,4.468,4.532,4.596,4.66,4.714,4.768,4.822,4.876,4.93,4.996,5.062,5.128,5.194,5.26,5.28,5.3,5.32,5.34,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.018,0.022,0.026,0.03,0.034,0.038,0.042,0.046,0.05,0.052,0.054,0.056,0.058,0.06,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096,0.1,0.104,0.108,0.112,0.116,0.12,0.126,0.132,0.138,0.144,0.15,0.154,0.158,0.162,0.166,0.17,0.18,0.19,0.2,0.21,0.22,0.234,0.248,0.262,0.276,0.29,0.314,0.338,0.362,0.386,0.41,0.448,0.486,0.524,0.562,0.6,0.65,0.7,0.75,0.8,0.85,0.902,0.954,1.006,1.058,1.11,1.17,1.23,1.29,1.35,1.41,1.48,1.55,1.62,1.69,1.76,1.824,1.888,1.952,2.016,2.08,2.13,2.18,2.23,2.28,2.33,2.39,2.45,2.51,2.57,2.63,2.712,2.794,2.876,2.958,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.038,0.046,0.054,0.062,0.07,0.078,0.086,0.094,0.102,0.11,0.118,0.126,0.134,0.142,0.15,0.194,0.238,0.282,0.326,0.37,0.38,0.39,0.4,0.41,0.42,0.436,0.452,0.468,0.484,0.5,0.534,0.568,0.602,0.636,0.67,0.704,0.738,0.772,0.806,0.84,0.876,0.912,0.948,0.984,1.02,1.02,1.02,1.02,1.02,1.02,1.006,0.992,0.978,0.964,0.95,0.986,1.022,1.058,1.094,1.13,1.138,1.146,1.154,1.162,1.17,1.13,1.09,1.05,1.01,0.97,0.952,0.934,0.916,0.898,0.88,0.902,0.924,0.946,0.968,0.99,1.018,1.046,1.074,1.102,1.13,1.236,1.342,1.448,1.554,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.016,0.022,0.028,0.034,0.04,0.04,0.04,0.04,0.04,0.04,0.042,0.044,0.046,0.048,0.05,0.05,0.05,0.05,0.05,0.05,0.052,0.054,0.056,0.058,0.06,0.06,0.06,0.06,0.06,0.06,0.062,0.064,0.066,0.068,0.07,0.07,0.07,0.07,0.07,0.07,0.072,0.074,0.076,0.078,0.08,0.1,0.12,0.14,0.16,0.18,0.212,0.244,0.276,0.308,0.34,0.37,0.4,0.43,0.46,0.49,0.526,0.562,0.598,0.634,0.67,0.762,0.854,0.946,1.038,1.13,1.186,1.242,1.298,1.354,1.41,1.452,1.494,1.536,1.578,1.62,1.698,1.776,1.854,1.932,2.01,2.106,2.202,2.298,2.394,2.49,2.58,2.67,2.76,2.85,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,2.91,2.926,2.942,2.958,2.974,2.99,3.006,3.022,3.038,3.054,3.07,3.088,3.106,3.124,3.142,3.16,3.174,3.188,3.202,3.216,3.23,3.246,3.262,3.278,3.294,3.31,3.326,3.342,3.358,3.374,3.39,3.42,3.45,3.48,3.51,3.54,3.57,3.6,3.63,3.66,3.69,3.722,3.754,3.786,3.818,3.85,3.892,3.934,3.976,4.018,4.06,4.09,4.12,4.15,4.18,4.21,4.236,4.262,4.288,4.314,4.34,4.37,4.4,4.43,4.46,4.49,4.52,4.55,4.58,4.61,4.64,4.664,4.688,4.712,4.736,4.76,4.946,5.132,5.318,5.504,5.69,5.686,5.682,5.678,5.674,5.67,5.67,5.67,5.67,5.67,5.67,5.69,5.71,5.73,5.75,5.77,5.78,5.79,5.8,5.81,5.82,5.822,5.824,5.826,5.828,5.83,5.832,5.834,5.836,5.838,5.84,5.834,5.828,5.822,5.816,5.81,5.818,5.826,5.834,5.842,5.85,5.856,5.862,5.868,5.874,5.88,5.884,5.888,5.892,5.896,5.9,5.876,5.852,5.828,5.804,5.78,5.818,5.856,5.894,5.932,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97,5.97
"New Zealand",3.52,3.504,3.488,3.472,3.456,3.44,3.47,3.5,3.53,3.56,3.59,3.63,3.67,3.71,3.75,3.79,3.832,3.874,3.916,3.958,4,4.04,4.08,4.12,4.16,4.2,4.232,4.264,4.296,4.328,4.36,4.4,4.44,4.48,4.52,4.56,4.592,4.624,4.656,4.688,4.72,4.768,4.816,4.864,4.912,4.96,5,5.04,5.08,5.12,5.16,5.198,5.236,5.274,5.312,5.35,5.394,5.438,5.482,5.526,5.57,5.616,5.662,5.708,5.754,5.8,5.824,5.848,5.872,5.896,5.92,5.942,5.964,5.986,6.008,6.03,6.08,6.13,6.18,6.23,6.28,6.298,6.316,6.334,6.352,6.37,6.388,6.406,6.424,6.442,6.46,6.394,6.328,6.262,6.196,6.13,6.184,6.238,6.292,6.346,6.4,6.468,6.536,6.604,6.672,6.74,6.752,6.764,6.776,6.788,6.8,6.826,6.852,6.878,6.904,6.93,6.898,6.866,6.834,6.802,6.77,6.756,6.742,6.728,6.714,6.7,6.69,6.68,6.67,6.66,6.65,6.632,6.614,6.596,6.578,6.56,6.526,6.492,6.458,6.424,6.39,6.258,6.126,5.994,5.862,5.73,5.728,5.726,5.724,5.722,5.72,5.716,5.712,5.708,5.704,5.7,5.696,5.692,5.688,5.684,5.68,5.676,5.672,5.668,5.664,5.66,5.66,5.66,5.66,5.66,5.66
Nicaragua,0.16,0.168,0.176,0.184,0.192,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.316,0.332,0.348,0.364,0.38,0.396,0.412,0.428,0.444,0.46,0.532,0.604,0.676,0.748,0.82,0.846,0.872,0.898,0.924,0.95,0.968,0.986,1.004,1.022,1.04,1.054,1.068,1.082,1.096,1.11,1.128,1.146,1.164,1.182,1.2,1.224,1.248,1.272,1.296,1.32,1.332,1.344,1.356,1.368,1.38,1.382,1.384,1.386,1.388,1.39,1.396,1.402,1.408,1.414,1.42,1.424,1.428,1.432,1.436,1.44,1.432,1.424,1.416,1.408,1.4,1.438,1.476,1.514,1.552,1.59,1.638,1.686,1.734,1.782,1.83,1.876,1.922,1.968,2.014,2.06,2.1,2.14,2.18,2.22,2.26,2.29,2.32,2.35,2.38,2.41,2.446,2.482,2.518,2.554,2.59,2.63,2.67,2.71,2.75,2.79,2.842,2.894,2.946,2.998,3.05,3.11,3.17,3.23,3.29,3.35,3.41,3.47,3.53,3.59,3.65,3.72,3.79,3.86,3.93,4,4.056,4.112,4.168,4.224,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.07,0.08,0.09,0.1,0.11,0.118,0.126,0.134,0.142,0.15,0.164,0.178,0.192,0.206,0.22,0.226,0.232,0.238,0.244,0.25,0.256,0.262,0.268,0.274,0.28,0.286,0.292,0.298,0.304,0.31,0.314,0.318,0.322,0.326,0.33,0.334,0.338,0.342,0.346,0.35,0.352,0.354,0.356,0.358,0.36,0.368,0.376,0.384,0.392,0.4,0.41,0.42,0.43,0.44,0.45,0.47,0.49,0.51,0.53,0.55,0.576,0.602,0.628,0.654,0.68,0.712,0.744,0.776,0.808,0.84,0.872,0.904,0.936,0.968,1,1.022,1.044,1.066,1.088,1.11,1.138,1.166,1.194,1.222,1.25,1.298,1.346,1.394,1.442,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,4.13,4.172,4.214,4.256,4.298,4.34,4.38,4.42,4.46,4.5,4.54,4.578,4.616,4.654,4.692,4.73,4.766,4.802,4.838,4.874,4.91,4.964,5.018,5.072,5.126,5.18,5.232,5.284,5.336,5.388,5.44,5.502,5.564,5.626,5.688,5.75,5.8,5.85,5.9,5.95,6,6.044,6.088,6.132,6.176,6.22,6.22,6.22,6.22,6.22,6.22,6.25,6.28,6.31,6.34,6.37,6.396,6.422,6.448,6.474,6.5,6.52,6.54,6.56,6.58,6.6,6.614,6.628,6.642,6.656,6.67,6.686,6.702,6.718,6.734,6.75,6.752,6.754,6.756,6.758,6.76,6.768,6.776,6.784,6.792,6.8,6.81,6.82,6.83,6.84,6.85,6.852,6.854,6.856,6.858,6.86,6.878,6.896,6.914,6.932,6.95,6.926,6.902,6.878,6.854,6.83,6.832,6.834,6.836,6.838,6.84,6.834,6.828,6.822,6.816,6.81,6.798,6.786,6.774,6.762,6.75,6.73,6.71,6.69,6.67,6.65,6.632,6.614,6.596,6.578,6.56,6.506,6.452,6.398,6.344,6.29,6.25,6.21,6.17,6.13,6.09,6.17,6.25,6.33,6.41,6.49,6.484,6.478,6.472,6.466,6.46,6.458,6.456,6.454,6.452,6.45,6.448,6.446,6.444,6.442,6.44,6.442,6.444,6.446,6.448,6.45,6.454,6.458,6.462,6.466,6.47
Pakistan,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.028,0.046,0.064,0.082,0.1,0.114,0.128,0.142,0.156,0.17,0.184,0.198,0.212,0.226,0.24,0.27,0.3,0.33,0.36,0.39,0.398,0.406,0.414,0.422,0.43,0.44,0.45,0.46,0.47,0.48,0.488,0.496,0.504,0.512,0.52,0.528,0.536,0.544,0.552,0.56,0.57,0.58,0.59,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.612,0.614,0.616,0.618,0.62,0.638,0.656,0.674,0.692,0.71,0.744,0.778,0.812,0.846,0.88,0.9,0.92,0.94,0.96,0.98,1.018,1.056,1.094,1.132,1.17,1.192,1.214,1.236,1.258,1.28,1.322,1.364,1.406,1.448,1.49,1.532,1.574,1.616,1.658,1.7,1.73,1.76,1.79,1.82,1.85,1.884,1.918,1.952,1.986,2.02,2.164,2.308,2.452,2.596,2.74,2.74,2.74,2.74,2.74,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,0.08,0.084,0.088,0.092,0.096,0.1,0.106,0.112,0.118,0.124,0.13,0.136,0.142,0.148,0.154,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.36,0.46,0.56,0.66,0.76,0.798,0.836,0.874,0.912,0.95,1.022,1.094,1.166,1.238,1.31,1.352,1.394,1.436,1.478,1.52,1.554,1.588,1.622,1.656,1.69,1.724,1.758,1.792,1.826,1.86,1.914,1.968,2.022,2.076,2.13,2.198,2.266,2.334,2.402,2.47,2.514,2.558,2.602,2.646,2.69,2.728,2.766,2.804,2.842,2.88,2.946,3.012,3.078,3.144,3.21,3.264,3.318,3.372,3.426,3.48,3.55,3.62,3.69,3.76,3.83,3.838,3.846,3.854,3.862,3.87,3.898,3.926,3.954,3.982,4.01,4.07,4.13,4.19,4.25,4.31,4.374,4.438,4.502,4.566,4.63,4.68,4.73,4.78,4.83,4.88,4.914,4.948,4.982,5.016,5.05,5.082,5.114,5.146,5.178,5.21,5.236,5.262,5.288,5.314,5.34,5.354,5.368,5.382,5.396,5.41,5.418,5.426,5.434,5.442,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,0.07,0.074,0.078,0.082,0.086,0.09,0.094,0.098,0.102,0.106,0.11,0.116,0.122,0.128,0.134,0.14,0.148,0.156,0.164,0.172,0.18,0.192,0.204,0.216,0.228,0.24,0.336,0.432,0.528,0.624,0.72,0.752,0.784,0.816,0.848,0.88,0.954,1.028,1.102,1.176,1.25,1.284,1.318,1.352,1.386,1.42,1.464,1.508,1.552,1.596,1.64,1.704,1.768,1.832,1.896,1.96,1.992,2.024,2.056,2.088,2.12,2.154,2.188,2.222,2.256,2.29,2.32,2.35,2.38,2.41,2.44,2.48,2.52,2.56,2.6,2.64,2.61,2.58,2.55,2.52,2.49,2.532,2.574,2.616,2.658,2.7,2.758,2.816,2.874,2.932,2.99,3.028,3.066,3.104,3.142,3.18,3.252,3.324,3.396,3.468,3.54,3.604,3.668,3.732,3.796,3.86,3.906,3.952,3.998,4.044,4.09,4.148,4.206,4.264,4.322,4.38,4.422,4.464,4.506,4.548,4.59,4.618,4.646,4.674,4.702,4.73,4.76,4.79,4.82,4.85,4.88,4.948,5.016,5.084,5.152,5.22,5.232,5.244,5.256,5.268,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0.02,0.022,0.024,0.026,0.028,0.03,0.034,0.038,0.042,0.046,0.05,0.054,0.058,0.062,0.066,0.07,0.076,0.082,0.088,0.094,0.1,0.108,0.116,0.124,0.132,0.14,0.152,0.164,0.176,0.188,0.2,0.244,0.288,0.332,0.376,0.42,0.458,0.496,0.534,0.572,0.61,0.64,0.67,0.7,0.73,0.76,0.824,0.888,0.952,1.016,1.08,1.114,1.148,1.182,1.216,1.25,1.28,1.31,1.34,1.37,1.4,1.44,1.48,1.52,1.56,1.6,1.642,1.684,1.726,1.768,1.81,1.858,1.906,1.954,2.002,2.05,2.076,2.102,2.128,2.154,2.18,2.202,2.224,2.246,2.268,2.29,2.316,2.342,2.368,2.394,2.42,2.462,2.504,2.546,2.588,2.63,2.718,2.806,2.894,2.982,3.07,3.17,3.27,3.37,3.47,3.57,3.652,3.734,3.816,3.898,3.98,4.014,4.048,4.082,4.116,4.15,4.18,4.21,4.24,4.27,4.3,4.35,4.4,4.45,4.5,4.55,4.644,4.738,4.832,4.926,5.02,5.08,5.14,5.2,5.26,5.32,5.348,5.376,5.404,5.432,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.054,0.058,0.062,0.066,0.07,0.074,0.078,0.082,0.086,0.09,0.096,0.102,0.108,0.114,0.12,0.128,0.136,0.144,0.152,0.16,0.166,0.172,0.178,0.184,0.19,0.206,0.222,0.238,0.254,0.27,0.304,0.338,0.372,0.406,0.44,0.478,0.516,0.554,0.592,0.63,0.662,0.694,0.726,0.758,0.79,0.826,0.862,0.898,0.934,0.97,1.01,1.05,1.09,1.13,1.17,1.184,1.198,1.212,1.226,1.24,1.264,1.288,1.312,1.336,1.36,1.412,1.464,1.516,1.568,1.62,1.74,1.86,1.98,2.1,2.22,2.226,2.232,2.238,2.244,2.25,2.296,2.342,2.388,2.434,2.48,2.6,2.72,2.84,2.96,3.08,3.196,3.312,3.428,3.544,3.66,3.742,3.824,3.906,3.988,4.07,4.128,4.186,4.244,4.302,4.36,4.42,4.48,4.54,4.6,4.66,4.704,4.748,4.792,4.836,4.88,4.914,4.948,4.982,5.016,5.05,5.1,5.15,5.2,5.25,5.3,5.342,5.384,5.426,5.468,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,1.37,1.392,1.414,1.436,1.458,1.48,1.502,1.524,1.546,1.568,1.59,1.612,1.634,1.656,1.678,1.7,1.722,1.744,1.766,1.788,1.81,1.834,1.858,1.882,1.906,1.93,1.956,1.982,2.008,2.034,2.06,2.118,2.176,2.234,2.292,2.35,2.398,2.446,2.494,2.542,2.59,2.628,2.666,2.704,2.742,2.78,2.844,2.908,2.972,3.036,3.1,3.132,3.164,3.196,3.228,3.26,3.314,3.368,3.422,3.476,3.53,3.61,3.69,3.77,3.85,3.93,4.018,4.106,4.194,4.282,4.37,4.432,4.494,4.556,4.618,4.68,4.714,4.748,4.782,4.816,4.85,4.89,4.93,4.97,5.01,5.05,5.106,5.162,5.218,5.274,5.33,5.424,5.518,5.612,5.706,5.8,5.888,5.976,6.064,6.152,6.24,6.29,6.34,6.39,6.44,6.49,6.556,6.622,6.688,6.754,6.82,6.852,6.884,6.916,6.948,6.98,7.022,7.064,7.106,7.148,7.19,7.214,7.238,7.262,7.286,7.31,7.338,7.366,7.394,7.422,7.45,7.476,7.502,7.528,7.554,7.58,7.566,7.552,7.538,7.524,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0.24,0.252,0.264,0.276,0.288,0.3,0.314,0.328,0.342,0.356,0.37,0.388,0.406,0.424,0.442,0.46,0.48,0.5,0.52,0.54,0.56,0.582,0.604,0.626,0.648,0.67,0.686,0.702,0.718,0.734,0.75,0.76,0.77,0.78,0.79,0.8,0.812,0.824,0.836,0.848,0.86,0.872,0.884,0.896,0.908,0.92,0.948,0.976,1.004,1.032,1.06,1.076,1.092,1.108,1.124,1.14,1.15,1.16,1.17,1.18,1.19,1.206,1.222,1.238,1.254,1.27,1.294,1.318,1.342,1.366,1.39,1.418,1.446,1.474,1.502,1.53,1.56,1.59,1.62,1.65,1.68,1.71,1.74,1.77,1.8,1.83,1.87,1.91,1.95,1.99,2.03,2.042,2.054,2.066,2.078,2.09,2.178,2.266,2.354,2.442,2.53,2.658,2.786,2.914,3.042,3.17,3.322,3.474,3.626,3.778,3.93,3.996,4.062,4.128,4.194,4.26,4.336,4.412,4.488,4.564,4.64,4.698,4.756,4.814,4.872,4.93,4.994,5.058,5.122,5.186,5.25,5.274,5.298,5.322,5.346,5.37,5.414,5.458,5.502,5.546,5.59,5.634,5.678,5.722,5.766,5.81,5.82,5.83,5.84,5.85,5.86,5.864,5.868,5.872,5.876,5.88,5.884,5.888,5.892,5.896,5.9,5.904,5.908,5.912,5.916,5.92,5.922,5.924,5.926,5.928,5.93
Reunion,0.21,0.222,0.234,0.246,0.258,0.27,0.282,0.294,0.306,0.318,0.33,0.346,0.362,0.378,0.394,0.41,0.428,0.446,0.464,0.482,0.5,0.522,0.544,0.566,0.588,0.61,0.654,0.698,0.742,0.786,0.83,0.87,0.91,0.95,0.99,1.03,1.064,1.098,1.132,1.166,1.2,1.182,1.164,1.146,1.128,1.11,1.132,1.154,1.176,1.198,1.22,1.246,1.272,1.298,1.324,1.35,1.378,1.406,1.434,1.462,1.49,1.496,1.502,1.508,1.514,1.52,1.52,1.52,1.52,1.52,1.52,1.546,1.572,1.598,1.624,1.65,1.692,1.734,1.776,1.818,1.86,1.814,1.768,1.722,1.676,1.63,1.702,1.774,1.846,1.918,1.99,2.058,2.126,2.194,2.262,2.33,2.414,2.498,2.582,2.666,2.75,2.852,2.954,3.056,3.158,3.26,3.336,3.412,3.488,3.564,3.64,3.696,3.752,3.808,3.864,3.92,3.966,4.012,4.058,4.104,4.15,4.19,4.23,4.27,4.31,4.35,4.38,4.41,4.44,4.47,4.5,4.528,4.556,4.584,4.612,4.64,4.644,4.648,4.652,4.656,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,0.09,0.094,0.098,0.102,0.106,0.11,0.112,0.114,0.116,0.118,0.12,0.124,0.128,0.132,0.136,0.14,0.144,0.148,0.152,0.156,0.16,0.166,0.172,0.178,0.184,0.19,0.198,0.206,0.214,0.222,0.23,0.248,0.266,0.284,0.302,0.32,0.366,0.412,0.458,0.504,0.55,0.576,0.602,0.628,0.654,0.68,0.74,0.8,0.86,0.92,0.98,1.038,1.096,1.154,1.212,1.27,1.308,1.346,1.384,1.422,1.46,1.544,1.628,1.712,1.796,1.88,1.968,2.056,2.144,2.232,2.32,2.394,2.468,2.542,2.616,2.69,2.738,2.786,2.834,2.882,2.93,2.996,3.062,3.128,3.194,3.26,3.336,3.412,3.488,3.564,3.64,3.71,3.78,3.85,3.92,3.99,4.134,4.278,4.422,4.566,4.71,4.862,5.014,5.166,5.318,5.47,5.576,5.682,5.788,5.894,6,6.074,6.148,6.222,6.296,6.37,6.356,6.342,6.328,6.314,6.3,6.346,6.392,6.438,6.484,6.53,6.576,6.622,6.668,6.714,6.76,6.72,6.68,6.64,6.6,6.56,6.534,6.508,6.482,6.456,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,0.13,0.136,0.142,0.148,0.154,0.16,0.164,0.168,0.172,0.176,0.18,0.184,0.188,0.192,0.196,0.2,0.206,0.212,0.218,0.224,0.23,0.24,0.25,0.26,0.27,0.28,0.296,0.312,0.328,0.344,0.36,0.392,0.424,0.456,0.488,0.52,0.538,0.556,0.574,0.592,0.61,0.642,0.674,0.706,0.738,0.77,0.804,0.838,0.872,0.906,0.94,0.976,1.012,1.048,1.084,1.12,1.164,1.208,1.252,1.296,1.34,1.416,1.492,1.568,1.644,1.72,1.804,1.888,1.972,2.056,2.14,2.204,2.268,2.332,2.396,2.46,2.508,2.556,2.604,2.652,2.7,2.74,2.78,2.82,2.86,2.9,2.922,2.944,2.966,2.988,3.01,3.048,3.086,3.124,3.162,3.2,3.238,3.276,3.314,3.352,3.39,3.414,3.438,3.462,3.486,3.51,3.632,3.754,3.876,3.998,4.12,4.214,4.308,4.402,4.496,4.59,4.684,4.778,4.872,4.966,5.06,5.102,5.144,5.186,5.228,5.27,5.3,5.33,5.36,5.39,5.42,5.44,5.46,5.48,5.5,5.52,5.498,5.476,5.454,5.432,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.082,0.134,0.186,0.238,0.29,0.336,0.382,0.428,0.474,0.52,0.554,0.588,0.622,0.656,0.69,0.768,0.846,0.924,1.002,1.08,1.11,1.14,1.17,1.2,1.23,1.258,1.286,1.314,1.342,1.37,1.454,1.538,1.622,1.706,1.79,1.802,1.814,1.826,1.838,1.85,1.87,1.89,1.91,1.93,1.95,1.946,1.942,1.938,1.934,1.93,1.95,1.97,1.99,2.01,2.03,2.048,2.066,2.084,2.102,2.12,2.11,2.1,2.09,2.08,2.07,2.046,2.022,1.998,1.974,1.95,1.926,1.902,1.878,1.854,1.83,1.804,1.778,1.752,1.726,1.7,1.656,1.612,1.568,1.524,1.48,1.432,1.384,1.336,1.288,1.24,1.458,1.676,1.894,2.112,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
