Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Burma (Myanmar)",,,,,,,,,4.13,4.13,4.13,4.13,4.13,3.98,3.98,3.9,3.68,2.86,2.83,2.78,2.75,2.59,2.43,1.99,4.86,4.07,2.895,1.72,,,
Montenegro,,,,,,,,,,,,,,,,,,,,4.78,3.42,5.79,3.52,3.47,2.63,3.96,3.63,3.69,3.01,3.07,
Mongolia,,,,,,,,,,,,0.09,5.04,6.95,6.98,5.03,5.02,4.29,4.4,5.1,5.1,5.1,5.03,5.03,5.03,5.03,4.8,4.57,5.045,5.52,5.26
Mozambique,,,,,,,,,,,,,,11.37,8.43,8.4,8.245,8.09,7.31,7.74,7.07,4.82,4.77,7.09,4.77,4.47,4.17,3.86,3.55,3.865,4.18
Mauritania,,,,,,,,,,,,,,9.92,9.916,9.912,9.908,9.904,9.9,9.46,9.29,8.68,7.94,8.05,8.24,8.43,8.62,8.67,8.4567,8.2433,8.03
Mauritius,,,,,,,,23.54,17.99,19.24,23.83,19.98,11.72,12.01,12.94,12.48,12.02,4.65,1.68,2.18,2.16,1.16,1.13,0.81,0.91,0.98,0.69,0.68,0.79,0.87,0.81
Malawi,,,,,,,22.31,20.03,17.75,20.77,12.74,12.565,12.39,9.88,10.505,11.13,10.1233,9.1167,8.11,7.035,5.96,8.44,6.41,6.08,5.73,3.8,4.25,4.24,4.77,,
Malaysia,14.4,13.2133,12.0267,10.84,10.085,9.33,8.31,7.29,6.27,5.37,5.23,5.14,4.81,5.06,4.2,4.57,5.37,4.27,3.68,3.71,3.89,3.55,3.12,4.17,4.41,4.44,1.28,2.65,4.02,,
Namibia,,,,,,,,,,,,,,0.74,1.11,0.995,0.88,0.96,0.97,1.15,1.75,1.77,1.33,1.07,0.61,0.75,0.7,0.9,1.03,0.91,1
Niger,,,,,,,,,,,,,,13.66,12.81,12.67,11.69,11.99,9.58,9.41,9.41,9.41,10.31,9.7,9.56,10.21,9.28,8.07,8.21,11.92,11.02
Nigeria,23.8,24.69,24.83,25.075,25.32,47.3033,69.2867,91.27,16.06,16.21,16.21,19.77,19.99,21.47,18.45,20.62,14.98,9.34,9.4,9.595,9.79,9.83,10.7,10.15,10.11,10.07,11.34,8.22,8.52,,
Nicaragua,,,,,,,,5.55,8.26,5.94,4.53,8.27,2.87,3.12,2.89,2.93,3.76,5.46,4.13,3.59,4.4,2.37,2.1,2.88,2.87,1.74,1.95,1.93,2.17,2.33,1.95
Netherlands,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Norway,0.87,0.948,1.026,1.104,1.182,1.26,3.855,6.45,2.41,4.42,3.61,2.49,3.45,3.11,2.65,2.45,2.79,2.87,2.35,2.57,2.46,2.33,3.04,3.35,3.57,3.82,3,3.52,3.41,3.13,3.2
