Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,3778,4490,7121,11071,8197,9032,4886,8372,3922,6667,11124,10000,7907,1154,10000,3333,9118,6923,7895,6250,6896
Madagascar,7585,9657,9658,11022,11298,10078,9559,9563,10036,9354,10050,10832,10880,9750,9251,9245,9068,6249,6895,8566,8509,8295,7999,8169,7436,6680,7727,7352,7677,6390,7329,6818,8235,8263,7405,7515,9117,9308,8742,6969,6933,7810,7284,7130,8644,6536,6888,7043,6899,7420,7613,7632,7894
Malawi,1044,1610,936,1166,1693,853,750,892,1638,1506,1415,1500,1016,1310,1480,1378,1748,2219,2638,1877,2276,1916,1062,1663,1971,1817,1585,1744,1907,1772,1890,608,2196,1177,2334,2714,1656,2106,2533,2398,2091,2137,2331,2307,1584,2568,2961,2931,2266,1680,2347,2577,2298
Malaysia,23965,21966,19773,21318,13980,14827,16218,28987,14676,20495,6099,20000,20255.9474,20511.8947,20767.8421,21023.7895,21279.7368,21535.6842,21791.6316,22047.5789,22303.5263,22559.4737,22815.4211,23071.3684,23327.3158,23583.2632,23839.2105,24095.1579,24351.1053,24607.0526,24863,25011,25158,25305,25452,25599,25746,25893,26040,26187,26334,26481,26907,27650,28469,29288,30108,30927,31746,32565,33107,34205,34525
Mali,522,848,963,1161,1040,1678,1922,2133,3081,3040,3301,3185,2787,3463,4530,4228,4286,4327,4794,4024,4870,5153,5244,4691,4650,5205,5044,5149,5270,5606,5337,5479,5029,4768,5041,4522,4383,4354,4094,4441,4516,4046,5037,4249,3407,2720,2665,3421,3820,3262,2530,2758,2657
Mauritius,3667,3250,13490,12060,10944,14357,11582,15721,17299,21728,27331,20111,22102,18769,9834,9059,10100,8533,7900,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,6847,7905,7876,7847,7817,7788,7888,7938,8095,7862,7806,7751,7695,7621,7547,7473,7400,7326,7252,7178,7101,7017,6899,6569
Mexico,5995,6406,6619,7456,7146,7371,7383,8183,7617,8130,8442,7783,8633,8581,8292,8406,8735,9013,8325,9217,8395,7974,8966,8688,8805,7463,9665,10123,8283,8669,7930,6483,6512,6959,7648,8342,9805,9521,9162,13106,9162,9326,10457,12226,10936,12204,12754,12644,12601,14572,13989,15232,15031
Montserrat,6923,6364,6667,7000,7222,7250,6250,6500,5333,6571,6889,6667,7000,4000,5833,5833,5833,5333,2000,1667,3667,3500,3000,3158,3158,3000,3000,3000,3000,4545,3917,2083,1208,779,1136,1479,1087,2141,1412,1755,2106,2104,2130,2175,2239,2324,2800,2589,2312,2000,2133,2222,2000
Morocco,2571,3687,3711,4306,4703,4682,3539,4304,4060,3454,5138,5627,3731,3457,4477,3929,3420,4790,6124,4541,6434,6584,6540,4602,6012,5931,7077,5381,6788,5700,6181,7103,7533,7442,7614,7805,6374,7024,7955,7509,7222,6572,6209,6083,5552,5317,5097,4884,4674,4487,4017,4067,4105
Mozambique,1831,1984,1951,2198,1522,1775,1759,1862,1852,1947,1472,1828,1679,1755,1711,1706,2031,1963,1707,2102,1736,1645,1231,1174,2500,1565,1191,854,1191,1648,2109,2159,2370,2467,2306,2605,1684,1718,1790,1352,1582,1632,1681,1643,1630,1600,1601,1618,1625,1681,2046,3254,4702
