Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Thailand,,,,,,,,,,,,,,,,0.3,0.9,0.3,0.3,0.9,0.5,0.5,0.7,1.2,1.3,1.5028,1.5039,1.803,2.614,3.087,3.413,4.327,5.246,8.364,10.236,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,0.0028,0.0095,0.002,0.004,0.004,0.005,0.005,0.005,0.005,
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.026,0.019,0.02,0.019,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.038,0.043,0.039,0.097,0.139,0.11,0.201,0.37,0.535,
Turkey,0.1,0.1,0.1071,0.1143,0.1214,0.1286,0.1357,0.1429,0.15,0.1571,0.1643,0.1714,0.1786,0.1857,0.1929,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.3,0.1,0.1,0.253,0.394,0.8,1.219,2.24,4.073,5.883,7.481,9.901,12.083,16.4564
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.035,0.045,0.309,0.182,0.24,0.254,0.722,1.311,1.689,
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.034,0.035,0.1,0.3,
"United Kingdom",,,,,,,,2.2,1.3,1.4,0.7,0.8,1,1.6,2.2,2.5,2.7,3.3,4.1,4.9,5.4,8,9.2,10.3,11.4,14.908,16.211,16.314,18.452,21.782,23.842,31.25,38.45,51.295,62.06,80.143
"United States",5.5,6.1,5.1,6.5,8.6,10.7,11.2,12.5,11.7,57.4,67.2,73.5,77.3,79.5,80.9,77.7,78.7,80.8,80.5,84,86.1,83.2,91.6,92.5,97.6,100.6,110.5,117.611793,137.702315,156.312179,179.808182,208.135295,232.12,267.097,302.21,323.737
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.05,0.1,0.841,0.835,0.968,0.972,1.122,1.222,2.177,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.065,0.079,0.056,0.072,0.105,0.143,0.144,0.145,0.146,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,0.057,0.094,0.131,0.168,0.166,0.144,
